page,name_en,gi,line
28,Australia) Australia 2006,43,"Australia) Australia 2006 43±3 9 Normal, 10 50 79.5 Glucose, 2h Standard Capillary,"
28,"Cereals, Australia) Australia 2006",43,"Cereals, Australia) Australia 2006 43±6 9 Normal, 10 50 79.1 Glucose, 2h Standard Capillary,"
28,Granola (mean),53,"Granola, mean of 11 foods 53"
28,389 Malted wholewheat cereal UK 2008*,56,389 Malted wholewheat cereal UK 2008* 56±5 11
28,390 Malted wholewheat cereal UK 2008*,60,390 Malted wholewheat cereal UK 2008* 60±7 12 Normal
28,391 Malted wheat cereal UK 2008*,60,391 Malted wheat cereal UK 2008* 60±5 12
28,392 Malted wheat cereal UK 2008*,68,392 Malted wheat cereal UK 2008* 68±5 14 Normal
28,"Town, South Africa) South Africa 2008",59,"Town, South Africa) South Africa 2008 59±6 12 Normal, 10 50 79.4 Glucose, 2h Standard Capillary,"
28,Australia) Australia 2008,67,"Australia) Australia 2008 67±3 13 Normal, 10 50 72.1 Glucose, 2h Standard Capillary,"
28,Australia) Australia 2008,66,"Australia) Australia 2008 66±11 13 Normal, 10 50 92.6 Glucose, 2h Standard Capillary,"
28,Australia) Australia 2014,48,"Australia) Australia 2014 48±5 10 Normal, 10 50 101.2 Glucose, 2h Standard Capillary,"
28,"Ku-ring-gai, NSW, Australia) Australia 2006",48,"Ku-ring-gai, NSW, Australia) Australia 2006 48±6 10 Normal, 10 50 78.4 Glucose, 2h Standard Capillary,"
28,Australia) Australia 2014,45,"Australia) Australia 2014 45±5 9 Normal, 10 50 107.1 Glucose, 2h Standard Capillary,"
28,"399 Fruit & Muesli, Bürgen ® (George Weston Foods, Australia) Australia 2007",51,"399 Fruit & Muesli, Bürgen ® (George Weston Foods, Australia) Australia 2007 51±4 10 Normal, 10 50 NS Glucose, 2h Standard Capillary,"
28,Australia) Australia 2014,50,"Australia) Australia 2014 50±5 10 Normal, 10 50 92.6 Glucose, 2h Standard Capillary,"
29,Australia 2008,31,"Australia 2008 31±4 6 Normal, 10 50 116.3 Glucose, 2h Standard Capillary,"
29,"402 Muesli (Value, UK) UK 2005",64,"402 Muesli (Value, UK) UK 2005 64±9 13 Normal, 10 50 79.9 Glucose, 2h Standard Capillary,"
29,"403 Muesli (Healthy Eating, UK) UK 2005",86,"403 Muesli (Healthy Eating, UK) UK 2005 86±10 17 Normal, 10 50 70.3 Glucose, 2h Standard Capillary,"
29,"404 Muesli (Cereali croccanti classic, Italy) 6 Italy 2009",66,"404 Muesli (Cereali croccanti classic, Italy) 6 Italy 2009 66±6 13 Normal, 10 50 75.5 Glucose, 2h Standard Capillary,"
29,"405 Muesli, fruit UK 2005",67,"405 Muesli, fruit UK 2005 67±7 13 Normal, 10 50 74.4 Glucose, 2h Standard Capillary,"
29,"classic, Italy)6 Italy 2009",62,"classic, Italy)6 Italy 2009 62±8 12 Normal, 10 50 69.9 Glucose, 2h Standard Capillary,"
29,Australia) Australia 2014,49,"Australia) Australia 2014 49±3 10 Normal, 10 50 79.0 Glucose, 2h Standard Capillary,"
29,"408 Muesli, gluten-free with psyllium (Freedom Foods, Australia) Australia 2007",50,"408 Muesli, gluten-free with psyllium (Freedom Foods, Australia) Australia 2007 50±7 10 Normal, 9 50 150.2 Glucose, 2h Standard Capillary,"
29,"(Kellogg's, Australia) Australia 2007",64,"(Kellogg's, Australia) Australia 2007 64±7 13 Normal, 10 50 74.5 Glucose, 2h Standard Capillary,"
29,"nuts, Alpen original (Weetabix, UK) UK 2002",55,"nuts, Alpen original (Weetabix, UK) UK 2002 55±10 11 Normal,"
29,Australia) Australia 2006,49,"Australia) Australia 2006 49±5 10 Normal, 10 25 56.6 Glucose, 2h Standard Capillary,"
29,"412 Muesli, Natural (Sanitarium, Australia) Australia 2001",40,"412 Muesli, Natural (Sanitarium, Australia) Australia 2001 40±6 8 Normal, 10 50 79.1 Glucose, 2h Standard Capillary,"
29,"413 Muesli, Natural (Sanitarium, New Zealand) New Zealand 2000",57,"413 Muesli, Natural (Sanitarium, New Zealand) New Zealand 2000 57±9 11 Normal, 10 50 NS Glucose, 2h Standard Venous, plasma Enzymatic 27"
29,Australia) Australia 2007,62,"Australia) Australia 2007 62±6 12 Normal, 9 50 83.8 Glucose, 2h Standard Capillary,"
29,"415 Muesli, Naytura Fruit and Nut (Woolworths, Australia) Australia 2007",48,"415 Muesli, Naytura Fruit and Nut (Woolworths, Australia) Australia 2007 48±6 10 Normal, 10 50 108.0 Glucose, 2h Standard Capillary,"
29,"416 Muesli, Swiss Bircher (Woolworths Select, Australia) Australia 2008",52,"416 Muesli, Swiss Bircher (Woolworths Select, Australia) Australia 2008 52±5 10 Normal, 10 50 85.0 Glucose, 2h Standard Capillary,"
29,"417 Muesli, toasted, with nuts Australia 2006",65,"417 Muesli, toasted, with nuts Australia 2006 65±5 13 Normal, 10 50 NS Glucose, 2h Standard Capillary,"
29,"418 Muesli, wholewheat UK 2005",56,"418 Muesli, wholewheat UK 2005 56±6 11 Normal, 10 50 84.6 Glucose, 2h Standard Capillary,"
30,"419 Muesli, yeast & wheat free (Freedom Foods, Australia ) Australia 2007",45,"419 Muesli, yeast & wheat free (Freedom Foods, Australia ) Australia 2007 45±5 9 Normal, 10 50 150.2 Glucose, 2h Standard Capillary,"
30,"420 Rye Muesli, Bürgen ® (George Weston Foods, Australia) Australia 2007",41,"420 Rye Muesli, Bürgen ® (George Weston Foods, Australia) Australia 2007 41±5 8 Normal, 10 50 NS Glucose, 2h Standard Capillary,"
30,2007,51,"2007 51±3 10 Normal, 10 50 NS Glucose, 2h Standard Capillary,"
30,422 Whole-grain oat muesli USA 2018*,55,"422 Whole-grain oat muesli USA 2018* 55±4 11 Normal, 19 50 84 Glucose, 2h Standard Capillary,"
30,Muesli (mean),55,"Muesli, mean of 30 foods 55"
30,"423 Chocolate Protein Muesli (Herman Brot Pty Ltd, Austra lia) Australia 2016",35,"423 Chocolate Protein Muesli (Herman Brot Pty Ltd, Austra lia) Australia 2016 35±4 7 Normal, 10 25 120.8 Glucose, 2h Standard Capillary,"
30,Australia) Australia 2016,30,"Australia) Australia 2016 30±3 6 Normal, 10 25 147.1 Glucose, 2h Standard Capillary,"
30,"425 Red Fruits Protein Muesli (Herman Brot Pty Ltd, Austr alia) Australia 2016",32,"425 Red Fruits Protein Muesli (Herman Brot Pty Ltd, Austr alia) Australia 2016 32±4 6 Normal, 10 25 134.4 Glucose, 2h Standard Capillary,"
30,"Oats; Peterborough, Ontario) Canada 2010",76,"Oats; Peterborough, Ontario) Canada 2010 76±4 15 Normal, 10 50 88.2 Glucose, 2h Standard Capillary,"
30,"Toby's, Australia) Australia 2003",82,"Toby's, Australia) Australia 2003 82±10 16 Normal, 10 50 88.2 Glucose, 2h Standard Capillary,"
30,"428 Instant oat cereal porridge, prepared with 348 g water UK 2006",83,"428 Instant oat cereal porridge, prepared with 348 g water UK 2006 83±10 17 Normal, 10 50 87.1 Glucose, 2h Standard Capillary,"
30,"429 Instant oat porridge, prepared with water, cooked Australia 2007",87,"429 Instant oat porridge, prepared with water, cooked Australia 2007 87±9 17 Normal, 10 50 88.2 Glucose, 2h Standard Capillary,"
30,"430 Porridge oats (Freedom Foods, Australia) Australia 2007",50,"430 Porridge oats (Freedom Foods, Australia) Australia 2007 50±4 10 Normal, 12 50 80.9 Glucose, 2h Standard Capillary,"
30,"431 Porridge oats, traditional (Lowan Whole Foods, Austral ia) Australia 2004",51,"431 Porridge oats, traditional (Lowan Whole Foods, Austral ia) Australia 2004 51±8 10 Normal, 10 50 81.0 Bread, 2h Standard Capillary,"
30,432 Porridge oats China 2005,55,"432 Porridge oats China 2005 55±2 11 Normal, 9 50 NS Glucose, 2h Standard Venous, NS NS 12"
31,Australia) Australia 2008,57,"Australia) Australia 2008 57±4 11 Normal, 10 50 81.4 Glucose, 2h Standard Capillary,"
31,"434 Porridge (Hubbards, New Zealand) New Zealand 2000",58,"434 Porridge (Hubbards, New Zealand) New Zealand 2000 58±9 12 Normal, 10 50 NS Glucose, 2h Standard Venous, plasma Enzymatic 27"
31,"435 Porridge, Scottish, made with water, cooked in microw ave UK 2005",63,"435 Porridge, Scottish, made with water, cooked in microw ave UK 2005 63±7 13 Normal, 10 50 80.6 Glucose, 2h Standard Capillary,"
31,Finland 2005,76,"Finland 2005 76±7 15 Normal, 12 50 495 Glucose, 3h21 0,15,30,45,6"
31,Australia 2003,55,"Australia 2003 55±2 11 Normal, 9 50 143.8 Glucose, 2h Standard Capillary,"
31,"438 Porridge, made from steel-cut oats, cooked in water Australia 2003",48,"438 Porridge, made from steel-cut oats, cooked in water Australia 2003 48±5 10 Normal, 10 50 81.2 Glucose, 2h Standard Capillary,"
31,water Australia 2016,51,"water Australia 2016 51±5 10 Normal, 9 50 87.9 Glucose, 2h Standard Capillary,"
31,"440 Porridge, made from steel-cut oats, cooked in water USA 2003",52,"440 Porridge, made from steel-cut oats, cooked in water USA 2003 52±4 10 Normal, 9 50 90.9 Glucose, 2h Standard Capillary,"
31,"(Meebags, Sunny International Trading Pty Ltd) Australia 2019",53,"(Meebags, Sunny International Trading Pty Ltd) Australia 2019 53±3 11 Normal, 9 50 89.6 Glucose, 2h Standard Capillary,"
31,Canada 2007,57,"Canada 2007 57±8 11 Normal, 10 50 80.0 Bread, 2h Standard Capillary,"
31,"Protein, prepared with water Australia 2019",57,"Protein, prepared with water Australia 2019 57±5 11 Normal, 10 50 105.3 Glucose, 2h Standard Capillary,"
31,prepared with water Australia 2019,52,"prepared with water Australia 2019 52±5 10 Normal, 10 50 94.3 Glucose, 2h Standard Capillary,"
31,Canada 2007,55,"Canada 2007 55±7 11 Normal, 10 50 86.5 Bread, 2h Standard Capillary,"
32,"446 Rice Bubbles™ (Kellogg's, Australia) Australia 2000",85,"446 Rice Bubbles™ (Kellogg's, Australia) Australia 2000 85±3 17 Normal, 10 50 58.5 Glucose, 2h Standard Capillary,"
32,"447 Rice Bubbles™ (Kellogg's, Australia) Australia 2007",92,"447 Rice Bubbles™ (Kellogg's, Australia) Australia 2007 92±8 18 Normal, 9 50 58.4 Glucose, 2h Standard Capillary,"
32,"448 Special K™ (Kellogg's, USA) USA 2000",69,"448 Special K™ (Kellogg's, USA) USA 2000 69±5 14 Normal, 10 50 NS Bread, 2h Standard Capillary,"
32,"449 Special K™, made from rice (Kellogg's, France) France 2002",84,"449 Special K™, made from rice (Kellogg's, France) France 2002 84±12 17 Normal,"
32,"450 Sustain™, Original (Kellogg's, Australia) Australia 2007",55,"450 Sustain™, Original (Kellogg's, Australia) Australia 2007 55±5 11 Normal, 10 50 67.4 Glucose, 2h Standard Capillary,"
32,"451 Sustain™ (Kellogg's) 13, tested in younger adults (19-32 y) Australia 2014*",56,"451 Sustain™ (Kellogg's) 13, tested in younger adults (19-32 y) Australia 2014* 56±4 11 Normal, 20 50 NS Glucose, 2h Standard Capillary,"
32,"452 Sustain™ (Kellogg's) 13, tested in older adults (56–86 y) Australia 2014*",66,"452 Sustain™ (Kellogg's) 13, tested in older adults (56–86 y) Australia 2014* 66±3 13 Normal, 60 50 NS Glucose, 2h Standard Capillary,"
32,"453 Vita-Brits™ (Uncle Toby's, Australia) Australia 2001",68,"453 Vita-Brits™ (Uncle Toby's, Australia) Australia 2001 68±6 14 Normal, 10 50 75.6 Glucose, 2h Standard Capillary,"
32,"454 Weet-Bix™ (Sanitarium, Australia) Australia 2004",69,"454 Weet-Bix™ (Sanitarium, Australia) Australia 2004 69±4 14 Normal, 10 50 78.2 Glucose, 2h Standard Capillary,"
32,"455 Weet-Bix™ (Sanitarium, Australia) Australia 2001",69,"455 Weet-Bix™ (Sanitarium, Australia) Australia 2001 69±4 14 Normal, 12 50 75.1 Bread, 2h Standard Capillary,"
32,"456 Whole wheat Goldies™ (Kellogg's, Australia) Australia 2001",70,"456 Whole wheat Goldies™ (Kellogg's, Australia) Australia 2001 70±4 14 Normal, 10 50 74.5 Glucose, 2h Standard Capillary,"
32,457 Wheat based cereal biscuits UK 2006,72,"457 Wheat based cereal biscuits UK 2006 72±10 14 Normal, 10 50 74.5 Glucose, 2h Standard Capillary,"
32,458 Wheat flake cereal biscuits Australia 2014*,76,"458 Wheat flake cereal biscuits Australia 2014* 76±5 15 Normal 10 50 75 Glucose, 2h Standard Capillary,"
33,"459 Good Start™, muesli wheat biscuits (Sanitarium, Australi a) Australia 2001",68,"459 Good Start™, muesli wheat biscuits (Sanitarium, Australi a) Australia 2001 68±4 14 Normal, 10 50 75.8 Glucose, 2h Standard Capillary,"
33,"(Sanitarium, Australia) Australia 2001",61,"(Sanitarium, Australia) Australia 2001 61±4 12 Normal, 10 50 147.4 Glucose, 2h Standard Capillary,"
33,Australia) Australia 2001,57,"Australia) Australia 2001 57±3 11 Normal, 10 50 92.3 Glucose, 2h Standard Capillary,"
33,462 Honey Goldies™ (Kellogg's Australia) Australia 2001,72,"462 Honey Goldies™ (Kellogg's Australia) Australia 2001 72±3 14 Normal, 10 50 71.3 Glucose, 2h Standard Capillary,"
33,"463 Lite-Bix™, plain, no added sugar (Sanitarium, Australia) Australia 2001",70,"463 Lite-Bix™, plain, no added sugar (Sanitarium, Australia) Australia 2001 70±3 14 Normal, 10 50 92.9 Glucose, 2h Standard Capillary,"
33,"464 Oat bran Weet-Bix™ (Sanitarium, Australia) Australia 2001",57,"464 Oat bran Weet-Bix™ (Sanitarium, Australia) Australia 2001 57±4 11 Normal, 10 50 91.4 Glucose, 2h Standard Capillary,"
33,465 Sultana Goldies™ (Kellogg's Australia) Australia 2001,65,"465 Sultana Goldies™ (Kellogg's Australia) Australia 2001 65±6 13 Normal, 10 50 73.1 Glucose, 2h Standard Capillary,"
33,Australia 2014*,72,"Australia 2014* 72±5 14 Normal 10 50 75 Glucose, 2h Standard Capillary,"
33,Australia 2014*,70,"Australia 2014* 70±4 14 Normal 10 50 75 Glucose, 2h Standard Capillary,"
33,468 Wheat flakes Australia 2019,73,"468 Wheat flakes Australia 2019 73±7 15 Normal 10 50 85.6 Glucose, 2h Standard Capillary,"
33,"469 All-Bran Fruit 'n Oats™ (Kellogg's, Australia) Australia 1997",41,"469 All-Bran Fruit 'n Oats™ (Kellogg's, Australia) Australia 1997 41±9 8 Normal,"
33,"470 All-Bran Soy 'n Fiber™ (Kellogg's, Australia) Australia 1999",33,"470 All-Bran Soy 'n Fiber™ (Kellogg's, Australia) Australia 1999 33±3 7 Normal, 10 50 88.0 Bread, 2h Standard Capillary,"
33,"471 All-Bran Wheat Flakes™ (Kellogg's, Australia) Australia 2007",60,"471 All-Bran Wheat Flakes™ (Kellogg's, Australia) Australia 2007 60±8 12 Normal, 9 50 72.6 Glucose, 2h Standard Capillary,"
33,"472 Bran cereal, high fiber UK 2005",43,"472 Bran cereal, high fiber UK 2005 43±10 9 Normal, 10 50 129.9 Glucose, 2h Standard Capillary,"
33,"473 Coco Pops™ (Kellogg's, Australia) Australia 2000",77,"473 Coco Pops™ (Kellogg's, Australia) Australia 2000 77±3 15 Normal, 10 50 57.1 Glucose, 2h Standard Capillary,"
33,"474 Corn Pops™ (Kellogg's, Australia) Australia 2000",80,"474 Corn Pops™ (Kellogg's, Australia) Australia 2000 80±4 16 Normal, 10 50 55.6 Glucose, 2h Standard Capillary,"
34,"Pty Ltd, Australia) Australia 2008",70,"Pty Ltd, Australia) Australia 2008 70±6 14 Normal, 10 50 69.1 Glucose, 2h Standard Capillary,"
34,"476 Energy Mix™, wheat-based flaked cereal (Quaker, France) France 2002",80,"476 Energy Mix™, wheat-based flaked cereal (Quaker, France) France 2002 80±7 16 Normal,"
34,2007,56,"2007 56±10 11 Normal, 10 50 150.2 Bread, 2h Standard Capillary,"
34,"478 Froot Loops™ (Kellogg's, Australia) Australia 1999",69,"478 Froot Loops™ (Kellogg's, Australia) Australia 1999 69±9 14 Normal, 10 50 58.6 Bread, 2h Standard Capillary,"
34,"479 Frosties™, sugar-coated cornflakes (Kellogg's, Australia) Australia 1997",55,"479 Frosties™, sugar-coated cornflakes (Kellogg's, Australia) Australia 1997 55±7 11 Normal, 12 50 57.8 Bread, 2h Standard Capillary,"
34,"480 Fruity-Bix™, berry (Sanitarium, New Zealand) New Zealand 2000",113,"480 Fruity-Bix™, berry (Sanitarium, New Zealand) New Zealand 2000 113±10 23 Normal, 10 50 NS Glucose, 2h Standard Venous, plasma Enzymatic 27"
34,"481 Golden Wheats™ (Kellogg's, Australia) Australia 1997",71,"481 Golden Wheats™ (Kellogg's, Australia) Australia 1997 71±8 14 Normal, 10 50 65.2 Bread, 2h Standard Capillary,"
34,Australia) Australia 2009,34,"Australia) Australia 2009 34±4 7 Normal, 10 25 40.0 Glucose, 2h Standard Capillary,"
34,"483 Grapenuts™ (Kraft Foods Inc, Port Chester, USA) USA 1997",75,"483 Grapenuts™ (Kraft Foods Inc, Port Chester, USA) USA 1997 75±6 15 Normal, 10 50 72.5 Bread, 2h Standard Capillary,"
34,"484 Guardian™ (Kellogg's, Australia) Australia 1997",37,"484 Guardian™ (Kellogg's, Australia) Australia 1997 37±9 7 Normal,"
34,"485 Guardian™ (Kellogg's, Australia) Australia 2019",43,"485 Guardian™ (Kellogg's, Australia) Australia 2019 43±4 9 Normal, 11 50 38.3 Glucose, 2h Standard Capillary,"
34,Australia 2006,66,"Australia 2006 66±9 13 Normal, 10 50 72.7 Glucose, 2h Standard Capillary,"
34,487 High-fiber cereal UK 2006,52,"487 High-fiber cereal UK 2006 52±6 10 Normal, 10 50 87.1 Glucose, 2h Standard Capillary,"
34,2007,54,"2007 54±5 11 Normal, 9 50 82.1 Glucose, 2h Standard Capillary,"
34,"489 Honey Rice Bubbles™ (Kellogg's, Australia) Australia 2000",77,"489 Honey Rice Bubbles™ (Kellogg's, Australia) Australia 2000 77±4 15 Normal, 10 50 56.4 Glucose, 2h Standard Capillary,"
34,"490 Honey Smacks™ (Kellogg's, Australia) Australia 1997",71,"490 Honey Smacks™ (Kellogg's, Australia) Australia 1997 71±10 14 Normal,"
34,USA) USA 1999,37,"USA) USA 1999 37±6 7 Normal, 10 50 96.3 Bread, 2h Standard Capillary,"
34,"492 Hot cereal, Sustagrain, unflavored (Con Agra Inc., USA) USA 1999",25,"492 Hot cereal, Sustagrain, unflavored (Con Agra Inc., USA) USA 1999 25±5 5 Normal, 10 50 135.5 Bread, 2h Standard Capillary,"
35,"493 Just Right™ (Kellogg's, Australia) Australia 1997",60,"493 Just Right™ (Kellogg's, Australia) Australia 1997 60±15 12 Normal,"
35,"494 Just Right Just Grains™ (Kellogg's, Australia) Australia 1999",62,"494 Just Right Just Grains™ (Kellogg's, Australia) Australia 1999 62±11 12 Normal, 10 50 64.3 Bread, 2h Standard Capillary,"
35,"495 Komplete™ (Kellogg's, Australia) Australia 1997",48,"495 Komplete™ (Kellogg's, Australia) Australia 1997 48±5 10 Normal, 10 50 NS Bread, 2h Standard Capillary,"
35,"496 Milo® Protein Clusters Cereal (Nestlé, Australia) Australia 2015",47,"496 Milo® Protein Clusters Cereal (Nestlé, Australia) Australia 2015 47±4 9 Normal, 10 50 80.9 Glucose, 2h Standard Capillary,"
35,"497 Mini Wheats™, blackcurrant (Kellogg's, Australia) Australia 1997",72,"497 Mini Wheats™, blackcurrant (Kellogg's, Australia) Australia 1997 72±10 14 Normal,"
35,"498 Oat 'n Honey Bake™ (Kellogg's, Australia) Australia 1999",77,"498 Oat 'n Honey Bake™ (Kellogg's, Australia) Australia 1999 77±11 15 Normal, 10 50 NS Bread, 2h Standard Capillary,"
35,Australia) Australia 2003,59,"Australia) Australia 2003 59±4 12 Normal, 10 50 80.9 Glucose, 2h Standard Capillary,"
35,"500 Raisin Bran™ (Kellogg's, USA) USA 2000",61,"500 Raisin Bran™ (Kellogg's, USA) USA 2000 61±5 12 Normal, 10 50 NS Bread, 2h Standard Capillary,"
35,Australia) Australia 2001,60,"Australia) Australia 2001 60±5 12 Normal, 10 50 77.6 Glucose, 2h Standard Capillary,"
35,"502 Sultana Bran™ (Kellogg's, Australia) Australia 2007",64,"502 Sultana Bran™ (Kellogg's, Australia) Australia 2007 64±3 13 Normal, 9 50 78.6 Glucose, 2h Standard Capillary,"
35,"cereal, 30.2 g fiber/100 g (Specialty Cereals, Australia) Australia 2001",41,"cereal, 30.2 g fiber/100 g (Specialty Cereals, Australia) Australia 2001 41±4 8 Normal, 10 50 104.6 Glucose, 2h Standard Capillary,"
35,504 Wheat flakes Australia 2019,73,"504 Wheat flakes Australia 2019 73±7 15 Normal, 10 50 85.6 Glucose, 2h Standard Capillary,"
35,505 Whole-grain protein cereal USA 2018*,49,"505 Whole-grain protein cereal USA 2018* 49±3 10 Normal, 19 50 99 Glucose, 2h Standard Capillary,"
35,Australia 2008,85,"Australia 2008 85±10 17 Normal, 10 50 74.7 Glucose, 2h Standard Capillary,"
35,"507 Cereal bar, cranberry flavor UK 2006",42,"507 Cereal bar, cranberry flavor UK 2006 42±5 8 Normal, 10 50 103.1 Glucose, 2h Standard Capillary,"
35,"508 Cereal bar, hazelnut flavor UK 2006",33,"508 Cereal bar, hazelnut flavor UK 2006 33±6 7 Normal, 10 50 103.7 Glucose, 2h Standard Capillary,"
36,"509 Cereal bar, orange flavor UK 2006",33,"509 Cereal bar, orange flavor UK 2006 33±3 7 Normal, 10 50 105.5 Glucose, 2h Standard Capillary,"
36,"510 Crunchy Nut Cornflakes™ bar (Kellogg's, Australia) Australia 1999",72,"510 Crunchy Nut Cornflakes™ bar (Kellogg's, Australia) Australia 1999 72±6 14 Normal, 10 50 58.3 Bread, 2h Standard Capillary,"
36,"nuts with yoghurt coating (Sanitarium, Australia) Australia 2001",56,"nuts with yoghurt coating (Sanitarium, Australia) Australia 2001 56±4 11 Normal, 10 50 79.0 Glucose, 2h Standard Capillary,"
36,"fruit covered with yoghurt coating (Sanitarium, Australia) Australia 2001",51,"fruit covered with yoghurt coating (Sanitarium, Australia) Australia 2001 51±4 10 Normal, 10 50 82.4 Glucose, 2h Standard Capillary,"
36,"513 Hi-Lite™ breakfast bar (Freedom Foods, Australia) Australia 2007",53,"513 Hi-Lite™ breakfast bar (Freedom Foods, Australia) Australia 2007 53±3 11 Normal, 10 50 71.6 Glucose, 2h Standard Capillary,"
36,"514 K-Time Just Right™ bar (Kellogg's, Australia) Australia 2000",72,"514 K-Time Just Right™ bar (Kellogg's, Australia) Australia 2000 72±4 14 Normal, 10 50 64.3 Glucose, 2h Standard Capillary,"
36,"515 K-Time Strawberry Crunch™ bar (Kellogg's, Australia) Australia 2000",77,"515 K-Time Strawberry Crunch™ bar (Kellogg's, Australia) Australia 2000 77±5 15 Normal, 10 50 61.7 Glucose, 2h Standard Capillary,"
36,"516 Muesli breakfast bar, gluten-free (Freedom Foods, Australia) Australia 2007",50,"516 Muesli breakfast bar, gluten-free (Freedom Foods, Australia) Australia 2007 50±6 10 Normal, 9 50 87.9 Glucose, 2h Standard Capillary,"
36,"517 Rice Bubble Treat™ bar (Kellogg's, Australia) Australia 1999",63,"517 Rice Bubble Treat™ bar (Kellogg's, Australia) Australia 1999 63±11 13 Normal, 10 50 63.2 Bread, 2h Standard Capillary,"
36,"518 Sustain™ bar (Kellogg's, Australia) Australia 1999",57,"518 Sustain™ bar (Kellogg's, Australia) Australia 1999 57±10 11 Normal, 10 50 60.8 Bread, 2h Standard Capillary,"
36,"519 Uncle Toby’s® Milk and Oats, Chocolate cereal bar Australia 2019",48,"519 Uncle Toby’s® Milk and Oats, Chocolate cereal bar Australia 2019 48±3 10 Normal, 10 50 93.8 Glucose, 2h Standard Capillary,"
36,"520 Uncle Toby’s® Milk and Oats, Strawberry cereal bar Australia 2018",50,"520 Uncle Toby’s® Milk and Oats, Strawberry cereal bar Australia 2018 50±4 10 Normal, 10 50 94.2 Glucose, 2h Standard Capillary,"
36,"521 Uncle Toby’s® Milk and Oats, Vanilla cereal bar Australia 2019",46,"521 Uncle Toby’s® Milk and Oats, Vanilla cereal bar Australia 2019 46±4 9 Normal, 9 50 93.6 Glucose, 2h Standard Capillary,"
36,Breakfast cereal bars (mean),56,"Breakfast cereal bars, mean of 16 foods 56"
36,"522 Uncle Toby’s® Breakfast Bakes, Apple and Cinnamon Australia 2019",45,"522 Uncle Toby’s® Breakfast Bakes, Apple and Cinnamon Australia 2019 45±5 9 Normal, 9 50 95.8 Glucose, 2h Standard Capillary,"
36,"523 Uncle Toby’s® Breakfast Bakes, Classic Peanut Butter Australia 2019",47,"523 Uncle Toby’s® Breakfast Bakes, Classic Peanut Butter Australia 2019 47±5 9 Normal, 10 50 102.7 Glucose, 2h Standard Capillary,"
36,"524 Uncle Toby’s® Breakfast Bakes, Honey Almond Australia 2019",50,"524 Uncle Toby’s® Breakfast Bakes, Honey Almond Australia 2019 50±4 10 Normal, 9 50 101.2 Glucose, 2h Standard Capillary,"
37,"525 Uncle Toby’s® Breakfast Bakes, Vanilla & Roasted Cashew Australia 2019",44,"525 Uncle Toby’s® Breakfast Bakes, Vanilla & Roasted Cashew Australia 2019 44±3 9 Normal, 9 50 101.8 Glucose, 2h Standard Capillary,"
37,526 Adlay (Coix lachryma-jobi L)22 Taiwan 2010*,39,"526 Adlay (Coix lachryma-jobi L)22 Taiwan 2010* 39±0.3 18 Normal, 10 50 64 Bread, 2h Standard Capillary,"
37,in water for 28 min Australia 2005,78,"in water for 28 min Australia 2005 78±6 35 Normal, 10 50 81.7 Glucose, 2h Standard Capillary,"
37,Canada 2012*,21,"Canada 2012* 21±4 9 Normal, 10 50 92.2 Bread, 2h Standard Capillary,"
37,Canada 2012*,22,"Canada 2012* 22±3 10 Normal, 10 50 83.7 Bread, 2h Standard Capillary,"
37,Canada 2012*,22,"Canada 2012* 22±4 10 Normal, 10 50 102.2 Bread, 2h Standard Capillary,"
37,"whole grain (only the husk was removed), boiled for 25 min Canada 2012*",24,"whole grain (only the husk was removed), boiled for 25 min Canada 2012* 24±5 11 Normal, 10 50 89.5 Bread, 2h Standard Capillary,"
37,"Products, Concord, Canada) Canada 1999",25,"Products, Concord, Canada) Canada 1999 25±2 11 Normal, 10 50 79.6 Glucose, 2h Standard Capillary,"
37,Canada 2012*,25,"Canada 2012* 25±3 11 Normal, 10 50 91.6 Bread, 2h Standard Capillary,"
37,Canada 2012*,25,"Canada 2012* 25±4 11 Normal, 10 50 92.2 Bread, 2h Standard Capillary,"
37,"whole grain (only the husk was removed), boiled for 25 min Canada 2012*",26,"whole grain (only the husk was removed), boiled for 25 min Canada 2012* 26±6 12 Normal, 10 50 95.3 Bread, 2h Standard Capillary,"
37,"whole grain (only the husk was removed), boiled for 25 min Canada 2012*",28,"whole grain (only the husk was removed), boiled for 25 min Canada 2012* 28±4 13 Normal, 10 50 85.1 Bread, 2h Standard Capillary,"
38,"whole grain (only the husk was removed), boiled for 25 min Canada 2012*",29,"whole grain (only the husk was removed), boiled for 25 min Canada 2012* 29±4 13 Normal, 10 50 83.6 Bread, 2h Standard Capillary,"
38,Canada 2012*,29,"Canada 2012* 29±7 13 Normal, 10 50 91.2 Bread, 2h Standard Capillary,"
38,Canada 2012*,30,"Canada 2012* 30±3 14 Normal, 10 50 86.9 Bread, 2h Standard Capillary,"
38,Canada 2012*,30,"Canada 2012* 30±5 14 Normal, 10 50 87.6 Bread, 2h Standard Capillary,"
38,Canada 2012*,32,"Canada 2012* 32±6 14 Normal, 10 50 80.2 Bread, 2h Standard Capillary,"
38,Canada 2012*,33,"Canada 2012* 33±3 15 Normal, 10 50 80.2 Bread, 2h Standard Capillary,"
38,"543 Barley, pot, boiled (Goudas Food Products, Canada) Canada 2001",35,"543 Barley, pot, boiled (Goudas Food Products, Canada) Canada 2001 35±4 16 Normal, 47 50 NS Glucose, 2h Standard Capillary, NS YSI or"
